forum_id,post_id,post_layer,post_time,user_id,post_content,number_of_words
410422,4546957,1,2014/12/15 10:51,93288,"2014-11-8OGTT时，查到尿微量蛋白，那时是得DM以为第一次查的（不知道以住为何医生没开这项检查），当时的值是42，给医生看时我突然想起检查前有吃了一堆的杏仁，医生说吃太多了，只说下个月复查，前天复查，尿微量蛋白仍超标，甚至达49，还超过了上次吃杏仁时的值，医生仍没有特别叮嘱，也没有要做24小时留尿的检查。自上次杏仁事件后，杏仁基本上不吃了，我只坚持了每晚睡前的221ml纯牛奶，其他的没啥变化，会不会是这个牛奶引起的 2014-11-13： IMG_20141213_123837(1).jpg (212.86 KB, 下载次数: 24) 下载附件 保存到相册 2014-12-15 10:46 上传 IMG_20141213_123811.jpg (166.29 KB, 下载次数: 27) 下载附件 保存到相册 2014-12-15 10:46 上传 这次甘油三脂与总胆固醇降到标准值内，是因为吃了一个月的阿托伐汀他钙片的原因（一天一片，一片20mg，晚睡前服），上次OGTT时这两项均超标~~~。 2014-11-8： IMG20141109161250.jpg (256.89 KB, 下载次数: 30) 下载附件 保存到相册 2014-12-15 10:49 上传 IMG20141109161359.jpg (154.05 KB, 下载次数: 33) 下载附件 保存到相册 2014-12-15 10:49 上传 有知道的糖友们教教，谢谢",272
449159,4694616,1,2015/2/18 20:32,93288," 今天是大年三十，在这辞旧迎新的日子里，我仅代表我个人及群里的好友给三诺的朋友和糖护科技的朋友们拜年，祝我的朋友们新年快乐，万事如意，事业蒸蒸日上，生意越来越好，在新的一年还能得到各位朋友的支持。 218.jpg (108.03 KB, 下载次数: 0) 下载附件 保存到相册 2015-2-18 20:32 上传 白菜肉丸汤 白菜肉丸汤.jpg (161.11 KB, 下载次数: 0) 下载附件 保存到相册 2015-2-18 21:22 上传 茶树菇炒猪肚 茶树菇炒猪肚.jpg (156.77 KB, 下载次数: 0) 下载附件 保存到相册 2015-2-18 21:22 上传 清蒸东星斑 东星斑.jpg (177.2 KB, 下载次数: 0) 下载附件 保存到相册 2015-2-18 21:22 上传 黑木耳肉片 黑木耳炒肉片.jpg (177.46 KB, 下载次数: 0) 下载附件 保存到相册 2015-2-18 21:22 上传 饺子 饺子.jpg (154.13 KB, 下载次数: 0) 下载附件 保存到相册 2015-2-18 21:22 上传 九节虾 九节虾.jpg (212.21 KB, 下载次数: 0) 下载附件 保存到相册 2015-2-18 21:22 上传 牛仔骨 牛仔骨.jpg (203.89 KB, 下载次数: 0) 下载附件 保存到相册 2015-2-18 21:23 上传 肉丸与节糕 肉丸.jpg (200 KB, 下载次数: 0) 下载附件 保存到相册 2015-2-18 21:23 上传 宋江猪首 宋江猪首.jpg (168.82 KB, 下载次数: 0) 下载附件 保存到相册 2015-2-18 21:23 上传",135
489666,4760497,1,2015/3/6 11:15,93288,好开心，第一次得到大奖 ，祝糖护科技红红火火,21
533213,4831769,1,2015/3/22 19:45,93288,"因为我是5A级用户，所以得到好多的奖品，其中我最喜欢的是一本小帽子特别准备的《糖尿病健康生活指南大全》，一拿手就从头开始翻了，呵呵。 三诺.jpg (133.47 KB, 下载次数: 0) 下载附件 保存到相册 2015-3-22 19:44 上传 这次小帽子想我所想，给我换了个安稳免调码，呵呵，这个是我想了好久的了。谢谢小帽子",105
586039,4970862,1,2015/5/2 19:51,93288,"趁着五一假期，上三甲医院复查下，早上8点开始抽血，抽血前卓越和康迅同时测试，血糖仪是手血，生化是静脉血，结果如下： 501生化.jpg (132.8 KB, 下载次数: 0) 下载附件 保存到相册 2015-5-2 19:45 上传 空腹血糖5.86 501对比.jpg (60.11 KB, 下载次数: 0) 下载附件 保存到相册 2015-5-2 19:43 上传 卓越5.9（2016-5新版水货试纸），康迅6.2（2016-12桶装试纸） 误差：卓越0.6%、康迅5.4% 就误差而言，卓越领先于康迅。 就方便而言，康讯数据自动上传领先于卓越。 5.4%的误差率还算是不错的，可以接受。",141
586746,4976126,1,2015/5/5 9:34,93288,"5月1日趁着劳动节休息上三甲医院复查，主要是查血生化（空腹血糖），尿微量蛋白，糖化血红蛋白，胆固醇等，随身带了四台血糖仪对比（三诺金稳、康迅360、卓越、糖护士杏），一滴血吸血顺序也是这样排列的，结果如下： 因尿微量蛋白一定要晨尿，医院又要8点后上班，憋个半死，先抽完血 生化血.jpg (132.8 KB, 下载次数: 0) 下载附件 保存到相册 2015-5-5 09:29 上传 唉，空腹血糖还正常，胆固醇和低密度蛋白超标了； 糖化.jpg (61.39 KB, 下载次数: 0) 下载附件 保存到相册 2015-5-5 09:29 上传 这个糖化还可以吧，在日常测血糖时倒出了糖护士的糖化，虽然相同： 护士.jpg (76.35 KB, 下载次数: 0) 下载附件 保存到相册 2015-5-5 09:29 上传 尿微.png (211.36 KB, 下载次数: 0) 下载附件 保存到相册 2015-5-5 09:29 上传 尿微量结果，上次12年12月24小时尿微量还有23，这次还少了 与三诺尿微量蛋白试纸同时对比 试纸.jpg (20.42 KB, 下载次数: 0) 下载附件 保存到相册 2015-5-5 09:29 上传 同机的四台血糖仪对比 仪器对比.jpg (71.83 KB, 下载次数: 0) 下载附件 保存到相册 2015-5-5 09:29 上传 ，误差范围都在可接受范围内。",250
591971,4997062,1,2015/5/12 17:16,93288,"周天上超市，看到进口菠萝真香啊，买了半个回家，知道它升糖高，就吃了二片也就100克吧，吃完测了下三个点的值，唉~~~~~ 进口菠萝100克a.jpg (50.41 KB, 下载次数: 0) 下载附件 保存到相册 2015-5-12 17:15 上传 菠萝.png (3.56 KB, 下载次数: 0) 下载附件 保存到相册 2015-5-12 17:15 上传",60
375304,3919662,1,2014/3/18 14:27,93907,昨天把三诺征文的奖品智能血糖仪拿出来用了，先研究了一会儿，再尝试着用。装针头的时候老是缩进去，装了几次才装上，三档，第一次没扎到，第二次出了好多血，以前用安稳针都要挤。采血口也跟安稳的不一样，第一次没吸进去，第二次换了一个角度才吸到血，6.3，也不知道准不准，这时离晚餐应该3个多小时了。我选的是空腹血糖，语音提示血糖控制一般，如果误差不大，这个血糖值对我来说应该算是较好的了，平时早上测空腹都在7.2-7.8呢。,199
377623,3962098,1,2014/4/4 13:33,93907,  昨晚没吃米饭，喝了番茄汤、吃了西芹百叶、老鹅烧竹笋，肚子吃的很饱，一直到睡觉都不感觉到饿，饭后没运动，洗了个澡。好长时间不测血糖了，今天早上7点40左右，找出上次三诺征文的奖品，智能血糖仪，测了下血糖，5.2，近两三年来最低的一次空腹，一般都在6.5-7.5。看来晚上不吃米饭或淀粉类的食物，空腹血糖会好些。我每天的主食不多，吃饱了菜以后，就吃一小块饭，肚子不饿，权当减肥，体重稳定在120左右，冬天胖两斤，夏天瘦两斤。,199
379716,4001011,1,2014/4/20 14:30,93907, 作品名称：即将消失的故乡 创作时间：2014年4月6日 创作地点：故乡的家 相机型号：佳能EOS600D   清明节前，哥哥打来电话，说老家的房子要拆了，限在4月15日之前搬离，安置房也刚拿到手，需要装修，时间很紧迫。我的第一感觉，我小时生活的故乡即将消失，顿生悲感。我跟我哥说，我要在清明节回一下家，拍些照片，留作永久的纪念。4月6日下午，我回到家，哥哥家周围的房子已拆了很多，到处都是砖石瓦砾，很乱。我看着我小时候在那里面和同伴嬉戏、玩水的小河，感觉小河没小时候那么宽了，以前，我每天都要蹒水上学的田间小路也不像路了，那棵不知名的树就像一个秃顶的老爷爷站在那里，看不到一点生气。房子后面的100多年的老桂花树，不知安生何处，哥哥在到处托人收留她，最好有公园愿意出面收留她。哥哥伺弄了几十年的自留地里种满了各种时令蔬菜，喜欢种菜的哥哥实在舍不得这些自留地。年轻时贫穷，后来辛苦挣钱，砌的新房，还那么结实，侄子结婚时，哥哥花了一大笔钱将房子内部装修一新，可惜现在就要拆了，哥哥嫂嫂实在不舍，说起房子就要掉泪。我妈妈那个年代甚至上一年代的家具，橱柜、茶几、雕花大床……都不能拿到新房去了，有的送人，有的劈了当柴火，看到这些，心里真不是滋味，那只忠心耿耿的看门狗，个大，看似凶猛，也不知谁能收留它。   我把能引起我回忆、引起我思索、引起我注意的地方全拍了照，有200多张，以后想起小时候生活过的故乡，只能看照片了。等我再回到故乡的时候，熟悉的环境将不再存在，不知会变为工业园还是万顷良田，我期望，今日老百姓的牺牲，将真正换来社会的发展，环境的美化。尽管我会疑惑，这些年，环境变化这么大，时间都去哪里了，我们的足迹还留下了哪些,688
379722,4001092,1,2014/4/20 15:21,93907,最近在用三诺智能血糖仪，c79，空腹血糖5.2，5.6，都是隔夜晚上吃菜喝汤吃肉不吃饭不运动后的血糖，不知是否偏低，有谁用过啊不是独立包装的试纸剥起来有点麻烦。,75
383519,4064482,1,2014/5/19 16:24,93907, 今早起来，看看时间还来得及，就测了一下空腹血糖，4.9，难以令人置信。是用奖品三诺智能血糖仪测的。昨天早上一个瘦肉粽子，一个粽叶煮鸡蛋，中午20个左右瘦肉草菇川葱馄饨，还有凉拌黄瓜、红烧竹笋，吃的是腰圆肚饱，午饭后，觉得困，一觉睡到5点多。起来继续吃馄饨，红烧竹笋，吃完后清洗灶台油烟机，花了一个多小时。干完活后，吃了几块菠萝，然后出去散步快走一小时。今天早上，同样一个粽子、一个煮鸡蛋，中午吃了两碗排骨山药汤，排骨有10块左右，山药也10块左右，还有一些胡萝卜丝，没吃米饭。到了下午1点多，看看时间差不多，就测了下餐后两小时血糖，6.0，觉得不可信，又测了次5.9，餐后创历史新低。哎，要是一直这样多好。最近，只要不下雨，就去体育场，沿着跑道快走40分钟9-10圈，400米每圈，加上来回好长的路，听着音乐走路，很有劲的，这次在手机里把所有以前听过的好歌全灌进去了，4个G，音乐多，听了就不会厌烦了。,386
386502,4102046,1,2014/6/6 13:44,93907,  因为糖高，两年不包粽子了。今年手痒，包了5斤糯米肉粽，很好吃，每天早上一个。吃粽子时都是先吃点生黄瓜或蔬菜，再吃粽子，没测血糖，感觉还好。  近两天，早上一个，晚上两个，但不是一下子吃掉，粽子我真的很喜欢吃，就喜欢吃糯米。昨天下班，5点吃了些凉拌菜，一个粽子，然后烧晚饭，炒菜。到了7点，又吃个粽子，外加土豆三丝，味道很好。饭后漫步到市体育场，400米跑道，快步40分钟，大概10-11圈，然后漫步回家。心血来潮，测了下血糖，已过两小时，8.2，粽子加土豆丝，升糖肯定钢钢的，还是要少吃。  话说回来，如果只吃一个粽子，运动回来就会感觉饿，我就要吃东西，如绿豆爽棒冰、苹果、西瓜、点心。昨天肚子不饿，洗完澡后，喝了一杯水，一觉睡到天亮。今天早上测空腹5.7，可把我的岛岛累坏了，岛岛努力工作了一晚上，才把血糖降下来，以前没吃粽子时，血糖在5.2左右。  最近，每晚饭后运动量都这么多，虽然听着动感十足的音乐走路，很有精神，但肯定身体吃不消，所以牙齿一直浮在嘴里，不能咬东西，有半个多月了。早上又醒得早，起得早，中午不能睡午觉，我估计太累了，除了牙齿，别的感觉都很好，体重稳定，每天早晚都称体重，晚上重2斤。,484
388866,4139544,1,2014/6/22 14:30,93907,阳台上弄了些盒子，成了我的一亩三分地，种的最多的是葱，春天长得很好，碧绿碧绿的，每天剪一把炒菜烧汤。到了夏天，葱耐不住热，枯了，可是马齿笕、马兰头、苋菜长得很茂盛，楼上掉下的太阳花种子也长出了苗，开出了花，这里成了小花园，没事的时候就会看看它，欣赏一下，顺便除个草。做菜时剥下的豆壳、做豆浆时挑出的烂黄豆、淘米的水都成了它的肥料。马兰头、马齿笕、苋菜、葱都被我做过菜，虽然数量少，但用它做菜的心情特别好，今天就是苋菜鸡蛋汤。小小田园，流淌出的是欢乐的歌，是放松心情的歌。,235
390370,4165107,1,2014/7/4 14:36,93907,  这次的奖品三诺手机血糖仪，发货很快，两天就收到货了。拿到手后，包装很好，血糖仪看起来比较精致，采血笔看起来也比安稳的精致，试纸是独立包装，很好，但这次我还是用的安稳采血笔。   先把使用说明仔细阅读一边，因为用过三诺的安稳、智能血糖仪，使用方法大同小异，一学就会，主要是下载血糖测试软件，花了好多时间。   我的手机是普通智能机，按要求去手机血糖仪官方网站，下载软件，老是显示手机内存不足，只好把手机里面的照片和音乐删掉好多。琢磨了一上午，终于将软件下载到我的手机了。昨天下午，测了个午餐后血糖，8.1，不知准确度如何。为了比较一下，看看血糖仪的准确度，今天早上，让老公也测一下，老公5.2，我6.4，老公前几天在医院测的空腹5.6，我7.5，他的血糖比较稳定，我昨天晚上没吃米饭，散步回来后，肚子很饿，吃了一个苹果。     根据我的一贯血糖水平，这个血糖仪测的值，应该比较准，最多加个0.4，智能血糖仪的误差就比较大了，误差在1.8左右，当然可能，因为试纸是瓶装的，时间长了会影响血糖值，但总的感觉智能血糖仪的值还是偏低的。    我使用这款手机血糖仪的体会如下： 1、手机血糖仪看起来比较轻巧、精致。 2、我以前测血糖，总是拿个本子，将血糖值记录下来，包括吃的东西、运动情况，也就是血糖日记，等以后没事的时候拿出来看看。现在用手机血糖仪，测的血糖，可以通过云保存下来，到时自己可以对自己的血糖情况有个了解，如果就医的话，也可给医生参考一下，还是很高端、很方便的。如果有医生朋友、医生子女，可以让他们登录自己的帐号，查看自己的血糖情况，给与合理的建议。 3、下载手机血糖仪后，可以注册用户，用户可以一个以上，不同的人测试，就切换不通的账户，这个也是很好的，等于各人有各人的血糖管理，可以供一人以上使用。 4、测血糖不需要用校验码，省掉了调试校验码的步骤。  我个人觉得，手机血糖仪的正确使用，需要有一些必备的条件：使用者要有使用现代媒体的技能、智能机必须是什么系统的才能使用、还需要下载唐护士软件、注册都有点麻烦，一些老年人或者没有智能机的，就无法使用。即使有会操作的子女给他们弄好了，老年人使用起来可能还是不会。,874
391236,4179621,1,2014/7/12 8:34,93907,以前可以看到我回复别人帖子，别人回复我的消息提示，现在看不到了，请问有何办法解决,41
391569,4185551,1,2014/7/15 9:15,93907,看到一个帖子回复一下，居然审核不通过，辛辛苦苦打出的字，总要发掉吧，其实我觉得那个帖子也没什么不正常啊，为什么不能通过，版主也太清纯了吧…… 这种朋友不交也罢，你可能也不赞成她搞婚外恋，跟你的生活宗旨不一样，相处也会觉得痛苦，朋友固然重要，家庭幸福、自己健康、工作顺利才是自己最需要的。在教育单位工作，年轻时，竞争比较明显，无非是想得点荣誉，做个什么长啊，等到了一定的年纪，这些也就看淡了，唯有自己的健康最重要。,204
392054,4192549,1,2014/7/18 17:39,93907,"  昨晚下班后偷懒，没烧饭和菜,拿点米煮了点稀饭，就着凉拌菜和咸菜毛豆，吃了一碗半稀饭，饭后一小时听音乐做运动40分钟，然后洗澡，本以为血糖肯定不高。后来心血来潮，还是测一下血糖吧，结果大吃一惊，三诺手机血糖仪测得血糖9.2，这时已经过了饭后两小时10几分了，稀饭真心不能吃啊。  今天早上测得空腹血糖5.7.开始做凉拌菜：木耳、芹菜、自制的绿豆芽、百叶，早餐就是三个自制的冬瓜肉包和凉拌菜、一些咸鸭蛋，没喝水，也没吃稀饭，9点多测得餐后血糖7.0，看来包子是能吃的，注意哦，不要吃稀的哦，餐后也没敢喝水。  中午，喝了一小碗冬瓜排骨汤、一些番茄炒蛋里的鸡蛋、茭白炒毛豆一碗，一些米饭，测得餐后血糖7.6，饭后无运动.  主要是控制饮食,但是,不是很严格,平时的运动也就是散步快走\听音乐动动,没吃药.",334
392058,4192611,1,2014/7/18 18:00,93907,"  折磨人的牙龈肿痛,延续好几年了,降火的茶啊 菜啊 药物牙膏 不吃牛肉,凡是听到的,想到的办法都试过了,就是不见好,也有糖友说,血糖高导致牙龈肿痛反复发作.  牙龈肿痛,导致牙齿松动,牙齿松动,导致吃东西塞牙,难以清理干净,继而又引起牙龈肿痛,恶性循环,糟死人了,一度失去了许多幸福指数.  上个月,牙龈肿痛一月有余,总不见好,同时发现最里面的一颗牙齿松动厉害,一碰就痛吃饭都成了问题.等到疼痛症状稍微减轻时,痛下决心,去医院拔牙,顺便做个体检.跟医生说明症状,决定拔牙.麻药从牙齿的两边打进去,医生轻轻一拔就下来了,配了罗红霉素 奥硝唑,坚持将药吃完,拔牙不太疼.  拔牙一月有余,牙龈没再肿痛,什么都吃,可以吃牛肉了,可以嚼硬的东西了,我的牙齿其实只有一边能用,另外一边不能碰硬的东西,有颗牙齿在我10几岁的时候,就杀死了牙神经,估计那颗牙齿已死.感谢我那颗献身的牙齿,希望她在垃圾堆里安好.应该早点把那颗牙齿拔掉,就是听信了牙齿不能拔啊,拔了满嘴的牙会松动啊,病牙反而会影响口腔里地牙齿.再次感谢我那颗逝去的牙.",447
397612,4289955,1,2014/8/30 15:47,93907,  昨天、前天，早上空腹，手机血糖仪测得8.5、8.2，比平时高多了，可能由于前天去饭店吃了饭，一个手抓骨、一些香煎牛肉、一些海鲜、椰奶2杯、锅巴、香螺……在这两天之前还去饭店大吃了一顿，晚上又去吃了一顿，所以，可能高血糖残留到昨天。   昨晚，街上买的2个大山芋，不知怎么吃，于是，蒋它切成3段，放在高压锅里烧熟，晚饭时吃了一段、一根拌黄瓜、一些茭白炒自己做的酸白菜，饭后散步加快走30分左右，回家洗澡后觉得肚子很饿，喝了点决明子水，还是饿，就把剩下的一截山芋吃掉，早上空腹血糖糖护士测6.6，基本上回到平时的血糖水平了，没有吃药。所以嘛，山芋还是可以吃的，最好加点蔬菜，今晚回去继续煮山芋，现在的山芋还是挺好吃的，粉粉的，不太甜。,304
399518,4339343,1,2014/9/14 14:24,93907,  昨天下午休息在家，午睡起床后，4点半左右，削了一个苹果、一个梨子，比较甜，吃了加起来一个的量，然后拖地抹桌打扫卫生，到了5点半左右，吃晚饭，韭菜炒鸡蛋、辣白菜、一些青菜汤和一点米饭，6点多后外出快步走1小时多，回家后，已经饭后近3小时，测了一下血糖，7.8。可能昨天下午水果吃多了，高血糖一直延续到今天。看来以后只能吃个3、4片水果。今年的水果，无论哪一种都很甜，只能少吃了。  今天早上测得空腹血糖8.0，于是就吃了一小碗泡饭，米饭很少的，一些自己煮的辣花生黄豆。出门买菜，回家做饭，一上午没吃任何东西，近中午时喝了点决明子泡的茶，肚子也没觉得饿看来煮的花生黄豆挺扛饿的。  中午12点，开始吃饭，一大碗萝卜骨头汤，比较清明的汤，萝卜较多，只有一块小骨头，一些菱角烧老豆腐，3、4块红烧鸡腿肉、虾米茄子、西芹香菇，没吃米饭。吃饭花了15分钟，吃的很饱。为了测餐二血糖，所以不能睡午觉了，就熬蒜蓉辣椒芝麻花生酱，时间还多，又把地拖了一遍，终于到了2点了，测了一下血糖，6.9，以上血糖值都是手机血糖仪测的。   为了控血糖，只能少吃米饭和淀粉类食物了。,463
399733,4343643,1,2014/9/16 10:13,93907, 我妈妈，今年84岁，去年腿摔断了，医院测得空腹血糖7.6，平时就爱吃甜的，喝开水要放白糖，一起聚餐的时候，就看到她一晚一碗的喝雪碧、可乐、营养快线，也吃肉，但现在明显没有以前那么能吃了，喝过饮料后，再来一晚甜的汤圆，这是她喜欢吃的，所以每次大家吃饭的时候，妹妹都要买这个。要不是腿摔断过，上了支架，她是一点也不服输的，以前还要到外面收泔水回来喂鸡，捡菜叶回来喂鸡，步行到镇上给父亲送饭，常常在我面前得意的说，人家都说她只有6、70岁。   现在已经能放开拐杖走路了，但都劝她尽量不要外出，被人家碰到了，要害别人，自己摔倒了，害自己，估计也比较孤独，一个人在家的时候比较多，养了2只狗，狗或许能帮她排解少许的寂寞吧。我哥空腹8点多，我一般在7左右，有时也超8。我很想给我妈妈测一下血糖，但是，她毕竟这么大年纪了，爱吃什么就吃什么吧，我也常常买点零食给她，让她打发寂寞无聊的时间。每次我去，她都要收集一下自己养的鸡下的蛋，鸡不生的时候，就到人家那里买点给我，我说不要，她硬要给我，不收她还不高兴，老公也硬不肯收，所以，我每次都跟老公说，老人给的好意就收了。有时也会从地里弄些黄瓜茄子菜椒韭菜，品相都不好，也要给我，我也收了。   老人随时随地也要让自己成为有用的人，所以还是尊重他们的意思吧。,534
